,,,,,,,,,
Initial Conditions,,,,,,,,Initial R,Log-likelihood (VAR)
0-1,1-5,5-15,15-25,25-45 ,45-65,65-75,75+,,
0,0,0,0,2,0,0,0,2.35,-14836.44
0,0,0,0,10,5,2,0,2.35,-14247.81
0,0,2,20,20,25,2,3,2.35,-13801.30
0,0,2,20,20,25,2,3,5.00,-13409.00
0,0,0,0,10,5,2,0,5.00,-13213.44
0,0,0,0,10,5,2,0,4.50,-13127.83
0,0,0,0,2,0,0,0,5.00,-13159.24
0,0,0,0,10,5,2,0,3.00,-13486.82
0,0,0,0,10,5,2,0,4.00,-13118.63
0,0,0,0,2,0,0,0,4.00,-13280.14
0,0,0,0,1,1,0,0,5.00,-13167.81
0,0,0,0,5,2,0,0,2.75,-13922.65
0,0,0,2,0,0,0,0,4.00,-13270.61
0,0,0,0,1,0,0,0,5.00,-13182.49
0,0,0,0,10,5,2,0,4.25,-13111.08
0,0,0,0,5,1,1,0,4.25,-13139.30
0,0,0,1,1,1,0,0,5.50,-13209.50
0,0,0,1,1,0,0,0,5.00,-13159.10
0,0,0,3,1,0,0,0,4.00,-13196.17
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,